Subject Name,Condition,Number of Draws,Trials per Draw,Frequency,PLV**2: bootstrapped mean,PLV**2: bootstrapped variance,Spectrum: bootstrapped mean,Spectrum: bootstrapped variance,Noise floor PLV**2: bootstrapped mean,Noise floor PLV**2: bootstrapped variance,Noise floor Spectrum: bootstrapped mean,Noise floor Spectrum: bootstrapped variance
subj001,1,100,250,395.5078125,0.00852023298017,3.5383796383e-06,0.198947103835,0.00149824398121,0.0052952843439,1.72269586724e-06,0.127147383676,0.000861933639372
subj001,1,100,250,397.94921875,0.00882139296963,3.13967888454e-06,0.204351855493,0.00133171888496,0.00515426670237,1.59904723312e-06,0.121605504819,0.000791176348308
subj001,1,100,250,400.390625,0.00870355885827,2.96728316793e-06,0.198064632156,0.00130574180456,0.00518570486959,1.45114454476e-06,0.120643837477,0.000700299062236
subj001,1,100,250,402.83203125,0.00851468118527,2.33157655177e-06,0.196756084744,0.00102425739701,0.00518413375814,1.49665777304e-06,0.118510408474,0.000662956609459
subj001,1,100,250,405.2734375,0.0078179478512,2.32894697472e-06,0.177965762342,0.00106679935871,0.00517484248069,1.8284597305e-06,0.116712488453,0.000751708872544
subj001,1,100,250,407.71484375,0.00728642114313,2.76571835681e-06,0.164111489595,0.00125578296683,0.00529355440274,1.6306839795e-06,0.11887651948,0.000670584145159
subj001,1,100,250,410.15625,0.00736036457111,3.38050797145e-06,0.16714074773,0.0016011705689,0.00521588083416,1.67566434405e-06,0.117123882056,0.000729328509806
subj001,1,100,250,412.59765625,0.00714439977498,2.0772049195e-06,0.162240766306,0.0010620498901,0.00526797617758,1.6120252497e-06,0.116959061387,0.000648466673742
subj001,1,100,250,415.0390625,0.00784818014216,3.38235341117e-06,0.207949053104,0.00296599980241,0.00513786411947,1.87812010833e-06,0.133109857464,0.00122298173268
subj001,1,100,250,417.48046875,0.00631846072538,4.36592260233e-06,0.35624297118,0.0335455610445,0.00475359168522,3.90650659418e-06,0.270480184417,0.0220555811751
subj001,1,100,250,419.921875,0.00697981207571,4.51754331917e-06,0.360380664645,0.0353908563172,0.00481188869103,3.20245042902e-06,0.269912279344,0.0235110299105
subj001,1,100,250,422.36328125,0.00656564242789,4.87274627434e-06,0.370114664752,0.0331895354417,0.0046850177234,4.19455019218e-06,0.266269980589,0.0229236087231
subj001,1,100,250,424.8046875,0.00753152295084,2.4952827349e-06,0.207575187197,0.00201657008966,0.0049777525846,2.00728453082e-06,0.133496779194,0.00160419393483
subj001,1,100,250,427.24609375,0.00780496964491,2.58217461613e-06,0.172373377122,0.0010440006853,0.00518175058693,1.68858768868e-06,0.110427537873,0.000656478789076
subj001,1,100,250,429.6875,0.00760474131192,2.46088799489e-06,0.16058809952,0.00093352198132,0.00514965213805,1.50192583876e-06,0.10750453157,0.000563407855746
subj001,1,100,250,432.12890625,0.00756066455359,2.67374661083e-06,0.153934654725,0.00087765514238,0.00533107517116,1.70113984228e-06,0.10867745085,0.000584206523054
subj001,1,100,250,434.5703125,0.00785944149425,2.8641063345e-06,0.158526853236,0.000939121865984,0.00540323576957,1.316320503e-06,0.1107734672,0.000501455596545
subj001,1,100,250,437.01171875,0.00762100386558,2.91394649525e-06,0.154258179281,0.000969662199357,0.00551243752334,1.78330930856e-06,0.112849714193,0.000658665122913
subj001,1,100,250,439.453125,0.00836013453018,3.16829368783e-06,0.165348838437,0.00107017236402,0.00538416044743,1.66636967555e-06,0.109430667614,0.000619930020085
subj001,1,100,250,441.89453125,0.00753765800348,1.91331075537e-06,0.151001436394,0.000702413252959,0.00540031206441,1.83296533997e-06,0.10856607583,0.000631803730477
subj001,1,100,250,444.3359375,0.00755080360825,1.89117766186e-06,0.150521714812,0.000673428613606,0.00524266113855,1.49905677778e-06,0.103228979984,0.000517707625645
subj001,1,100,250,446.77734375,0.00757511261065,2.21022398064e-06,0.15193685537,0.000814230711117,0.00517264294734,1.78700323063e-06,0.102661137389,0.000607023683485
subj001,1,100,250,449.21875,0.00798856542886,3.09915629726e-06,0.155481589203,0.00105742259665,0.00526450007777,1.86014693163e-06,0.102888501448,0.000611045168348
subj001,1,100,250,451.66015625,0.00850326103698,2.78297902103e-06,0.161826019643,0.000908234042985,0.00520377313682,1.33134461748e-06,0.100890296018,0.000421366832708
subj001,1,100,250,454.1015625,0.00837860564121,3.00364602535e-06,0.159869918923,0.000929898137619,0.00521702414054,1.27590333188e-06,0.100412850935,0.000384545249609
subj001,1,100,250,456.54296875,0.00774199693439,2.95694842556e-06,0.149671009149,0.000920691648747,0.00535091829951,1.14550343272e-06,0.103219635185,0.000366842871366
subj001,1,100,250,458.984375,0.00730621427316,2.3570726649e-06,0.14228656128,0.000727887211504,0.00543234365427,1.29899983931e-06,0.103187130271,0.000432207841535
subj001,1,100,250,461.42578125,0.00746098049404,2.00583912289e-06,0.142662049398,0.00058814737634,0.00534399148483,1.67615680284e-06,0.100564837527,0.000495219468472
subj001,1,100,250,463.8671875,0.00816393165391,2.63242378076e-06,0.150409232076,0.000707035932635,0.00532101458099,2.0204950766e-06,0.0984279133306,0.000578827749577
subj001,1,100,250,466.30859375,0.00822793003812,2.33786240095e-06,0.151782297531,0.000658897731472,0.00524386945651,1.91015595456e-06,0.0957901625261,0.000568443123039
subj001,1,100,250,468.75,0.00862186800161,2.65654083511e-06,0.157428013933,0.000760111441566,0.00507623066618,1.32643990705e-06,0.0929053673165,0.000439113874362
subj001,1,100,250,471.19140625,0.0074798625724,1.85454927085e-06,0.13729870118,0.000531176131492,0.00506896349895,1.55296547109e-06,0.0919500927263,0.000441288123598
subj001,1,100,250,473.6328125,0.0074961679669,1.70232155409e-06,0.138367640385,0.000509685635856,0.00512657700862,1.43852707968e-06,0.0927128484971,0.000427142649143
subj001,1,100,250,476.07421875,0.00743402774141,1.77236042522e-06,0.13706981339,0.000563607584244,0.00524749976071,1.68245003223e-06,0.0955036608633,0.000477977694892
